epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5987,2.45083,4.19352,1.89378,0.00189,0.5625,0.00806,0.00383,2.10143,4.57982,1.8197,1.667e-05,1.667e-05,1.667e-05
2,21.5649,2.28882,4.12211,1.77567,0.00191,0.5625,0.00971,0.00392,2.03758,4.55631,1.75559,4.90198e-05,4.90198e-05,4.90198e-05
3,30.5537,2.00778,3.9575,1.6575,0.00336,0.75,0.01674,0.00738,1.88645,4.43992,1.53413,8.00493e-05,8.00493e-05,8.00493e-05
4,39.5321,1.81105,3.78231,1.55413,0.00325,0.625,0.12717,0.07015,1.50134,4.17942,1.29582,0.000109759,0.000109759,0.000109759
5,48.4833,1.45969,3.24025,1.30182,0.0032,0.625,0.23947,0.13591,1.28852,3.94239,1.20453,0.000138148,0.000138148,0.000138148
6,57.2634,1.48111,2.97606,1.28404,0.00366,0.75,0.39689,0.21395,1.26101,3.89802,1.2862,0.000165216,0.000165216,0.000165216
7,65.3837,1.33752,2.65948,1.22625,0.00334,0.625,0.3555,0.23417,1.26309,3.72012,1.26525,0.000190965,0.000190965,0.000190965
8,74.0814,1.40807,2.27099,1.21205,0.00389,0.75,0.37157,0.20875,1.31363,3.6569,1.31447,0.000215393,0.000215393,0.000215393
9,89.2937,1.3386,2.2428,1.18526,0.00396,0.75,0.31734,0.18978,1.28276,3.64854,1.33692,0.000238501,0.000238501,0.000238501
10,106.576,1.44024,2.0353,1.16978,0.00406,0.75,0.3549,0.21349,1.28759,3.68034,1.26112,0.000260289,0.000260289,0.000260289
11,124.037,1.28259,1.9228,1.16161,0.00402,0.75,0.35576,0.18657,1.24685,3.80772,1.27883,0.000280756,0.000280756,0.000280756
12,141.902,1.33007,2.05759,1.12663,0.00486,0.9375,0.49535,0.2554,1.26321,3.86033,1.16969,0.000299903,0.000299903,0.000299903
13,157.869,1.35261,2.17852,1.19395,0.00492,0.9375,0.62385,0.3078,1.35278,3.95724,1.16444,0.00031773,0.00031773,0.00031773
14,174.153,1.2572,2.03479,1.14786,0.00549,1,0.61409,0.28753,1.43499,4.03936,1.19224,0.000334237,0.000334237,0.000334237
15,192.509,1.20261,1.93269,1.12831,0.00553,1,0.58767,0.2653,1.51677,4.10694,1.23155,0.000349423,0.000349423,0.000349423
16,210.491,1.15004,1.77959,1.08685,0.00546,1,0.6245,0.26663,1.5185,4.00203,1.24833,0.000363289,0.000363289,0.000363289
17,228.13,1.2894,1.79694,1.11984,0.00532,1,0.59084,0.24993,1.48415,3.96776,1.21434,0.000375835,0.000375835,0.000375835
18,244.966,1.17166,1.56718,1.04683,0.0044,0.8125,0.54417,0.26707,1.68596,3.94214,1.21442,0.000387061,0.000387061,0.000387061
19,258.779,1.0935,1.54246,1.02444,0.00388,0.75,0.56755,0.2755,1.88156,3.99392,1.30509,0.000396966,0.000396966,0.000396966
20,269.059,1.15319,1.52906,1.0558,0.00335,0.6875,0.51943,0.25063,1.97071,4.04577,1.38085,0.000405551,0.000405551,0.000405551
21,277.354,1.22283,1.66318,1.0718,0.00334,0.6875,0.51576,0.28399,1.88405,3.95013,1.33913,0.000412816,0.000412816,0.000412816
22,285.978,1.22393,1.6191,1.04352,0.64994,0.1875,0.46996,0.23854,1.71624,3.74279,1.12169,0.00041876,0.00041876,0.00041876
23,294.273,1.11285,1.52252,1.01225,1,0.11508,0.51185,0.28413,1.62438,3.6141,1.06201,0.000423385,0.000423385,0.000423385
24,303.112,1.18569,1.60131,1.07726,0.95703,0.125,0.51521,0.30137,1.63299,3.55507,1.06292,0.000426689,0.000426689,0.000426689
25,311.632,1.23493,1.48958,1.08102,0.88593,0.125,0.41922,0.21858,1.75692,3.47688,1.12998,0.000428672,0.000428672,0.000428672
26,319.94,1.10711,1.37342,1.00578,0.64456,0.2044,0.41013,0.20484,1.65194,3.43485,1.10085,0.000429336,0.000429336,0.000429336
27,328.03,1.17339,1.53475,1.07976,0.70001,0.1875,0.58507,0.35768,1.53918,3.24323,1.09455,0.000428679,0.000428679,0.000428679
28,336.321,1.00671,1.30588,1.01818,0.70001,0.1875,0.58507,0.35768,1.53918,3.24323,1.09455,0.000426702,0.000426702,0.000426702
29,344.86,1.07068,1.4428,1.02385,0.81968,0.1875,0.75641,0.47568,1.44956,3.10854,1.08388,0.000423405,0.000423405,0.000423405
30,353.113,1.12001,1.42501,1.0881,0.8613,0.16694,0.80317,0.51342,1.63282,3.13339,1.18026,0.000418787,0.000418787,0.000418787
31,361.92,1.10758,1.38392,1.01928,0.8613,0.16694,0.80317,0.51342,1.63282,3.13339,1.18026,0.000412849,0.000412849,0.000412849
32,370.182,1.09966,1.37004,1.01241,0.93905,0.1875,0.83046,0.52605,1.64071,3.0958,1.1969,0.000405591,0.000405591,0.000405591
33,378.533,1.04511,1.32123,0.9935,1,0.17493,0.8869,0.5507,1.40421,3.15328,1.11528,0.000397013,0.000397013,0.000397013
34,389.534,1.12603,1.48828,1.09784,1,0.17493,0.8869,0.5507,1.40421,3.15328,1.11528,0.000387114,0.000387114,0.000387114
35,397.889,0.98997,1.18948,0.95537,1,0.22589,0.86248,0.56336,1.16318,3.06181,1.00856,0.000375895,0.000375895,0.000375895
36,406.277,0.95544,1.23902,0.96265,1,0.25723,0.8428,0.59325,1.16173,2.97851,1.01037,0.000363356,0.000363356,0.000363356
37,415.628,0.99008,1.2647,1.00106,1,0.25723,0.8428,0.59325,1.16173,2.97851,1.01037,0.000349497,0.000349497,0.000349497
38,426.924,0.92125,1.22724,0.96867,0.91485,0.4386,0.84089,0.58047,1.2149,2.85392,0.98276,0.000334317,0.000334317,0.000334317
39,438.593,1.03927,1.26013,1.00719,0.86604,0.69229,0.84383,0.57695,1.3131,2.71771,1.00214,0.000317817,0.000317817,0.000317817
40,448.515,0.92883,1.18197,0.94162,0.86604,0.69229,0.84383,0.57695,1.3131,2.71771,1.00214,0.000299997,0.000299997,0.000299997
41,458.924,0.86158,1.33403,0.93506,0.79046,0.67126,0.83294,0.56893,1.36648,2.68485,1.02811,0.000280856,0.000280856,0.000280856
42,468.349,0.81081,1.31758,0.89637,0.77273,0.59578,0.83468,0.56515,1.40413,2.74643,1.07048,0.000260395,0.000260395,0.000260395
43,478.259,0.88449,1.39215,0.95616,0.77273,0.59578,0.83468,0.56515,1.40413,2.74643,1.07048,0.000238614,0.000238614,0.000238614
44,486.394,0.85146,1.30029,0.9329,0.80961,0.56204,0.83846,0.57218,1.39967,2.73106,1.06331,0.000215513,0.000215513,0.000215513
45,494.34,0.77769,1.28929,0.92374,0.80961,0.56204,0.83846,0.57218,1.39967,2.73106,1.06331,0.000191092,0.000191092,0.000191092
46,502.589,0.83879,1.28849,0.93703,0.7686,0.7175,0.83435,0.5656,1.40318,2.69063,1.0523,0.00016535,0.00016535,0.00016535
47,510.395,0.7574,1.35744,0.91461,0.7686,0.7175,0.83435,0.5656,1.40318,2.69063,1.0523,0.000138288,0.000138288,0.000138288
48,518.515,0.88193,1.37041,0.95027,0.82546,0.81199,0.84177,0.58171,1.37984,2.61393,1.02579,0.000109905,0.000109905,0.000109905
49,526.685,0.87683,1.36623,0.92172,0.82546,0.81199,0.84177,0.58171,1.37984,2.61393,1.02579,8.02027e-05,8.02027e-05,8.02027e-05
50,534.605,0.82162,1.37925,0.91601,0.84375,0.8125,0.85973,0.58933,1.36729,2.52109,1.00679,4.91798e-05,4.91798e-05,4.91798e-05
